arm,budget_fraction,budget,checkpoint_sha256,mAP50_95,AP50,AP50_95_D00,recall_D00,AP50_95_D10,recall_D10,AP50_95_D20,recall_D20,AP50_95_D40,recall_D40
shared,0.02,46,d35f0d486bb923d6926f3aeb0170f9d83f697567707c59f77fed4f2921e2a141,0.0016253658696549372,0.006009038781219538,0.0016053784974046112,0.1747422680412371,0.0007264650900075328,0.05,0.0,0.0,0.0041696198912076045,0.07272727272727272
random,0.05,113,6fb53b9b39cea0365fc89c90c14c1f9b9350ede51dcd52153e3d76e50a2766c7,0.0031243032775635582,0.009069196152152032,0.00567933622509119,0.25051546391752577,0.0015428342855410009,0.07419354838709678,4.997345160383546e-05,0.007407407407407407,0.005225069148018208,0.10909090909090909
random,0.1,226,c9f2ca2274cfd848bae5e8a904dd4e936ae394a811febdf3bca57480d899e8da,0.014066405085968405,0.04675128779256925,0.032095413873125166,0.35051546391752575,0.0034278230278756787,0.2564516129032258,0.0057211472282761725,0.15185185185185185,0.015021236214596603,0.27954545454545454
random,0.2,451,5728a961b65a2caec465e32d2cb0b0eb9fbc04974cd3fcaa3b5e137bfbbb2963,0.028215998296757114,0.09487454997485138,0.05388231273796485,0.39793814432989694,0.012505654434612127,0.3225806451612903,0.015457801246256857,0.17037037037037037,0.03101822476819462,0.24090909090909096
coreset,0.05,113,4ff3282f8019ae8e935ca78745a8e6973471a60909a01c35edbbaf1d5e2c2e85,0.00038859607554924444,0.001973829319869625,0.0013833422918405856,0.15,4.702265984999625e-05,0.016129032258064512,4.5065162475216335e-05,0.025925925925925925,7.89541880311796e-05,0.015909090909090907
coreset,0.1,226,ca2a9706626f56f76dad7f8adb31d64c60fdd40a3ff8c3e3fb33596961793877,0.015151229201575953,0.045858129185371854,0.032149001280502916,0.3139175257731958,0.014657683434264409,0.27903225806451615,0.009507623738040684,0.2074074074074074,0.004290608353495796,0.17272727272727273
coreset,0.2,451,45eb88c0e87ef09726083c08936b014a136ee5278c8c811f2f48a51c295605c4,0.0263186174746668,0.08784277505967603,0.05516320499774565,0.38298969072164946,0.019592635366737138,0.3112903225806452,0.016186397774339268,0.137037037037037,0.014332231759845151,0.2545454545454545
hybrid,0.05,113,585c2f9d7111e4f18e8d679a1f79ffc83b986b4839bbe07d6a747a3c08667c15,0.007146474604212843,0.024573749768507326,0.0035293961986073963,0.18144329896907213,0.003788607898257077,0.08709677419354839,0.014509920316539752,0.14814814814814814,0.006757974003447145,0.09318181818181817
hybrid,0.1,226,0e0ef2956ee7eec397bc9b2d7c5238fe8bf45ac669fb06329cf68498f70a8976,0.01357712810587071,0.038327425902014566,0.029173304472122824,0.3530927835051546,0.01581192466010508,0.2661290322580645,0.006752487936998789,0.1333333333333333,0.002570795354256159,0.20454545454545453
hybrid,0.2,451,3ca768f665e7d819872d7f2f432ee44fac1f9fa16d2ebfe492db8db6badd9b41,0.03338844121606697,0.09919175261659838,0.059599163087979815,0.36237113402061855,0.020846170524672178,0.29516129032258065,0.015924531815749814,0.1962962962962963,0.037183899435866065,0.2545454545454546
