arm,budget_fraction,budget,checkpoint_sha256,mAP50_95,AP50,AP50_95_D00,recall_D00,AP50_95_D10,recall_D10,AP50_95_D20,recall_D20,AP50_95_D40,recall_D40
shared,0.02,46,51dae37df226fad89e9eca713f08f837800d5187e3510a7adca1f195579b0a00,0.0009067832081075753,0.003457893733926789,0.003007795994298995,0.1324742268041237,0.0,0.0,0.00037997485919495926,0.09259259259259259,0.00023936197893634692,0.045454545454545456
random,0.05,113,609f22ec33e183ac790b608018f3271b74530d989c7904ff07de4fd171451854,0.0008885891253605708,0.003734430107322308,0.0028161233602859675,0.2036082474226804,0.00010386332750922153,0.0064516129032258064,0.0002970297029702971,0.01111111111111111,0.0003373401106767975,0.015909090909090907
random,0.1,226,a24e573000eb0e50f36e70fbbee714eea5bc363526b6c92eb1997ad194215194,0.009465667518967323,0.0278064363880053,0.031935517109662484,0.3402061855670103,0.0009871873994761835,0.15161290322580645,0.0019480449885213677,0.037037037037037035,0.0029919205782092547,0.14772727272727273
random,0.2,451,6ee00315d1391ee538b7899e9861a0d5031b4eb8a6295ec79f5e4e6eb480baf0,0.02417840995393136,0.0652553982140522,0.06534783767398428,0.3649484536082474,0.009224823085464504,0.2612903225806451,0.012673754970911888,0.1074074074074074,0.009467224085364772,0.2272727272727273
entropy,0.05,113,b20136a2645be18deac83f9133bcb1f0b7ff5a9a643bb8ba9b799d70e745350a,0.0058806033942402315,0.015873644146470283,0.014645432372305277,0.28711340206185565,8.563943839799615e-05,0.016129032258064512,0.004575571424643421,0.1222222222222222,0.004215770341614231,0.08636363636363636
entropy,0.1,226,9b2ed2ba90b28709436bf14f348f5678a0c5ddfe2b69cd913e6cac9a78eb1683,0.022725798252100655,0.06596767940176892,0.039628978529401664,0.3365979381443299,0.0020587382491604866,0.2032258064516129,0.03796410566093842,0.2111111111111111,0.011251370568902066,0.19545454545454544
entropy,0.2,451,fec239c9bcb13173905b53f238e044cc8995c0dbe847884c6bcdb6c597c73504,0.03555206848448948,0.10173221454093945,0.05169201313595334,0.3927835051546392,0.012052859768333524,0.2870967741935484,0.05445943261625627,0.28888888888888886,0.024003968417414805,0.27954545454545454
margin,0.05,113,e08fc5bef836818e6064bcc532ce6ce77116cc7b3937188c19e372960a6fc4be,0.003234916327535513,0.00851707136900657,0.006245611709043489,0.2577319587628866,0.0005743120070996515,0.024193548387096774,0.00191655055304488,0.02222222222222222,0.004203191040954033,0.08636363636363636
margin,0.1,226,e6af8394f072bcb59120530afb21a95d9fe8c56cc607783505ae1c9a364e85a5,0.01985562356322828,0.051847691338006124,0.05246884524908292,0.3494845360824742,0.0026955586862336613,0.18548387096774194,0.019367716859329524,0.2074074074074074,0.004890373458267006,0.22954545454545455
margin,0.2,451,749c17c5de20ce57e9d56ad52a9f7703437fe04941b2d95ca2001cd9b8940593,0.03795460459475883,0.10351988795036025,0.07642002701881585,0.38608247422680414,0.015776084208101948,0.33064516129032256,0.0482086802375886,0.29629629629629634,0.011413626914528924,0.29318181818181815
