arm,budget_fraction,budget,checkpoint_sha256,mAP50_95,AP50,AP50_95_D00,recall_D00,AP50_95_D10,recall_D10,AP50_95_D20,recall_D20,AP50_95_D40,recall_D40
shared,0.02,46,a5e9e8c38e532d6f20f29cc4c4b55bf7dd120d1cb12b70dbb63c8254530e1a58,0.006528959760327584,0.0171714881100902,0.009654851958330882,0.1319587628865979,0.0,0.0,0.000615670051224304,0.05555555555555556,0.015845317031755148,0.05909090909090908
random,0.05,113,a0bb1add8652560eabf4a68a12419751f04dd27de2118ad2fe9baa6e47176871,0.0022391603985901704,0.009365449872241591,0.006692873632927838,0.09381443298969071,0.0003877341497303945,0.05645161290322581,0.0015841584158415843,0.007407407407407407,0.00029187539586086734,0.09772727272727273
random,0.1,226,10bb23eb9300a9724b1c84b67ac9bef0921d2663604fdc06256be9cd19ce1059,0.011136658347708281,0.03517117186425126,0.0303644275734979,0.24948453608247423,0.01256788031127503,0.16451612903225804,0.00032071003710540543,0.018518518518518517,0.001293615468954778,0.08181818181818182
random,0.2,451,b043df87ca13758dfcbf6ac26fc7e7a0b6a851e686ba5fcdcae01871620fddbf,0.02216447569093593,0.05840336912714673,0.06905378117811492,0.3695876288659794,0.003964884015978321,0.2629032258064516,0.002567267622015752,0.05555555555555556,0.013071969947634736,0.3022727272727273
entropy,0.05,113,6a8d8019e91d70d90ee0d874d7d2bc39a6662391c8e5f2d1a256f25bb4e7d494,0.007042554986713984,0.027364491702540707,0.017320065078482546,0.14278350515463917,0.0026412653657061722,0.08387096774193549,0.008195686760287731,0.1074074074074074,1.3202742379483911e-05,0.01818181818181818
entropy,0.1,226,54ae30f4481c144f1d6e2ac547f3eccf1c9ca621e0f2045244a47086b7b632f1,0.015430788065404943,0.05870508123437477,0.038399659333431764,0.26185567010309274,0.0021856282872447013,0.18387096774193548,0.017996621512125974,0.23703703703703702,0.003141243128817332,0.11363636363636362
entropy,0.2,451,8b001e91d59f0c9597059a780a8bdb1f7f3e59e50e89b45be8c24bea2211c62b,0.026330699840331446,0.08699428819432596,0.05085229424171345,0.35257731958762883,0.010055094404791938,0.3048387096774194,0.033728626170538976,0.22222222222222224,0.010686784544281423,0.23863636363636362
margin,0.05,113,a5ae66449ffb0b918b5449c1c5fe60a639dc1cc43efd530a571f1a4dec60a60c,0.012529672179122434,0.039388393973023204,0.033025879265189316,0.19484536082474227,0.008241119967161242,0.09193548387096774,0.0087475907473137,0.07037037037037037,0.00010409873682548876,0.04318181818181818
margin,0.1,226,b7f2533f83222ebfa7b43837bee2fba6500eb2aac24689ec7f5985e02c99959a,0.01804996219727591,0.056408700349087564,0.050398065538371443,0.24020618556701034,0.006747377530341665,0.18870967741935482,0.01000170595923108,0.07777777777777777,0.005052699761159466,0.17045454545454547
margin,0.2,451,d6d52f4b63961f79c5a76e73f55189d932d2799e638a9739d3dbd0a4c29cffa6,0.03523927781815988,0.11782252938633316,0.056843206738285794,0.359278350515464,0.012056111752347533,0.3967741935483871,0.04564821429446268,0.26296296296296295,0.026409578487543512,0.2704545454545455
